"";"Type";"token";"cluster"
"151";"EXTERNAL_FC FACADE L3-L7 HIGHLIGHTS - DO NOT TAG";"external fc facade l3-l7 highlights - do not tag";1
"152";"EXTERNAL_PODIUM SCREEN_SCRN-401";"external podium screen scrn-401";1
"153";"Walls 3";"s 3";2
"154";"EXT WALL_FCDT-303 FC SPANDRAL MAIN ENTRANCE SPINE";"ext  fcdt-303 fc spandral main entrance spine";1
"155";"EXT WALL_FCDT-201";"ext  fcdt-201";1
"156";"EXTERNAL_PODIUM SCREEN_SCRN-402";"external podium screen scrn-402";1
"157";"EXTERNAL_PODIUM SCREEN_TS";"external podium screen ts";1
"158";"EXT WALL_FCDT-103 RECESSED BRICK";"ext  fcdt-103 recessed brick";1
"159";"L2 Lift Core Feature Wall White";"l2 lift core feature  white";1
"160";"INTERNAL_Plant Room Mesh Wall";"internal plant room mesh ";1
"161";"LF9a - FIRE RATED BATTEN LINING";"lf9a - fire rated batten lining";6
"162";"LAMINATE SPLASHBACK BASIN TYPE B";"laminate splashback basin type b";1
"163";"CON_Concrete Wall_150mm";"con concrete ";2
"164";"EXTERNAL_Chain Wire Mesh Fence_unconstrained";"external chain wire mesh fence unconstrained";1
"165";"Brickwork_Single_110mm";"brickwork single";1
"166";"L15 - PLANT FACADE LINING";"l15 - plant facade lining";6
"167";"P7e/A35 - STUD PARTITION IMPACT 1 SIDE";"p7e/a35 - stud partition impact 1 side";5
"168";"Curtain Wall - Spine_see Brett_no grids";"curtain  - spine see brett no grids";1
"169";"L1# - DIRECT FIX LINING";"l1# - direct fix lining";6
"170";"Brickwork_120mm";"brickwork";1
"171";"P11d/A40 - STUD PARTITION";"p11d/a40 - stud partition";4
"172";"L4d/A45* - STUD LINING WET";"l4d/a45* - stud lining wet";3
"173";"P12d/A35 - STUD PARTITION WET 1 SIDE";"p12d/a35 - stud partition wet 1 side";5
"174";"EXTERNAL_PODIUM SCREEN_BSBS-110";"external podium screen bsbs-110";1
"175";"L12e/A45* - STUD LINING";"l12e/a45* - stud lining";3
"176";"B1d/V1 - BLOCK WALL";"b1d/v1 - block ";1
"177";"Concrete_Cast Insitu_250mm";"concrete cast insitu";2
"178";"P61d/A45 - DOUBLE STUD PARTITION";"p61d/a45 - double stud partition";4
"179";"Charred Timber_1200mm Intervals";"charred timber  intervals";1
"180";"EWS-103 - 110mm";"ews-103 -";2
"181";"EWS-101A - Charred Timber";"ews-101a - charred timber";1
"182";"P1e/A35 - STUD PARTITION";"p1e/a35 - stud partition";4
"183";"STR_600 - SHOARING WALL";"str 600 - shoaring ";1
"184";"Charred Timber_100x70_600mm Intervals";"charred timber 100x70  intervals";1
"185";"P21e/A45 - STUD PARTITION";"p21e/a45 - stud partition";4
"186";"EWS-103 - 600mm - Flemish Bond";"ews-103 -  - flemish bond";1
"187";"EWS-140 - GLAZING SYSTEM 2000Centres";"ews-140 - glazing system 2000centres";1
"188";"EWS-105 - GLAZING SYSTEM";"ews-105 - glazing system";1
"189";"WIN - 101 - GLAZING SYSTEM";"win - 101 - glazing system";1
"190";"PM4/A35 - STUD PARTITION";"pm4/a35 - stud partition";4
"191";"Partition Type 1 - P1d/XX";"partition type 1 - p1d/xx";1
"192";"P21d/A50 - STUD PARTITION";"p21d/a50 - stud partition";4
"193";"P3d - STUD PARTITION WET 2 SIDES";"p3d - stud partition wet 2 sides";5
"194";"P12e/A45 - STUD PARTITION WET 1 SIDE";"p12e/a45 - stud partition wet 1 side";5
"195";"P22e/A45 - STUD PARTITION WET 1 SIDE";"p22e/a45 - stud partition wet 1 side";5
"196";"P11e/A45 - STUD PARTITION";"p11e/a45 - stud partition";4
"197";"PF11d/F120/A50 - FIRE RATED STUD PARTITION WET 1 SIDE";"pf11d/f120/a50 - fire rated stud partition wet 1 side";4
"198";"P22d/A50 - STUD PARTITION WET 1 SIDE";"p22d/a50 - stud partition wet 1 side";5
"199";"Charred Timber_600mm Intervals";"charred timber  intervals";1
"200";"Charred Timber_600mm Intervals - Corners";"charred timber  intervals - corners";1
"201";"EWS - 110 - Charred Timber_600mm Intervals";"ews - 110 - charred timber  intervals";1
"202";"P1e/A40 - STUD PARTITION";"p1e/a40 - stud partition";4
"203";"Concrete - 300mm";"concrete -";2
"204";"L2d/T1.5 - STUD LINING";"l2d/t1.5 - stud lining";3
"205";"LB1# - 18mm OSB BATTEN LINING";"lb1# -  osb batten lining";6
"206";"L2b/35* - STUD LINING";"l2b/35* - stud lining";3
"207";"EWS-103 - PERFORATED BRICK CURTAIN WALL - FLEMISH";"ews-103 - perforated brick curtain  - flemish";1
"208";"EWS-103 - PERFORATED BRICK CURTAIN WALL";"ews-103 - perforated brick curtain ";1
"209";"EWS-103 - 600mm - Stretcher Bond";"ews-103 -  - stretcher bond";1
"210";"EWS - 141 - 380mm - TPZ - Windows Seat";"ews - 141 -  - tpz - windows seat";1
"211";"EWS-130 - Charred Timber_100x70_600mm Intervals_Temp-Test 2";"ews-130 - charred timber 100x70  intervals temp-test 2";1
"212";"01_Facade GLASS BEHIND TIMBER FIN 1500 Intervals";"01 facade glass behind timber fin 1500 intervals";1
"213";"LB3# - 18mm PLYWOOD BATTEN LINING";"lb3# -  plywood batten lining";6
"214";"Concrete_Cast Insitu_200mm";"concrete cast insitu";2
"215";"EWS-103 - 300mm - Flemish Bond";"ews-103 -  - flemish bond";1
"216";"P11d/A35 - STUD PARTITION";"p11d/a35 - stud partition";4
"217";"LB5 - 18mm PERF. PLYWOOD BATTEN LINING";"lb5 -  perf. plywood batten lining";6
"218";"LB5b - 18mm PERF. PLYWOOD BATTEN LINING";"lb5b -  perf. plywood batten lining";6
"219";"LB2d/T1.5 - 18mm OSB STUD LINING";"lb2d/t1.5 -  osb stud lining";6
"220";"LB6d/T1.5 - 18mm PERF. PLY STUD LINING";"lb6d/t1.5 -  perf. ply stud lining";6
"221";"LF1b - FIRE RATED BATTEN LINING";"lf1b - fire rated batten lining";6
"222";"L3b - BATTEN LINING WET";"l3b - batten lining wet";6
"223";"L1b - BATTEN LINING";"l1b - batten lining";6
"224";"L2d/A50* - STUD LINING";"l2d/a50* - stud lining";3
"225";"LB7a - 18mm GALVANISED BATTEN LINING";"lb7a -  galvanised batten lining";6
"226";"Concrete_Cast Insitu_300mm";"concrete cast insitu";2
"227";"Charred Timber_100x70_600mm Intervals_Temp-Test";"charred timber 100x70  intervals temp-test";1
"228";"LB3b - 18mm PLYWOOD BATTEN LINING";"lb3b -  plywood batten lining";6
"229";"LB4d/T1.5 - 18mm PLY STUD LINING";"lb4d/t1.5 -  ply stud lining";6
"230";"L2e/A40* - STUD LINING";"l2e/a40* - stud lining";3
"231";"EWS - 142 - 740mm - TPZ - Bulkhead";"ews - 142 -  - tpz - bulkhead";1
"232";"LB1b - 18mm OSB BATTEN LINING";"lb1b -  osb batten lining";6
"233";"LB8 - 18mm PVC RENDERED LINING";"lb8 -  pvc rendered lining";6
"234";"LB3d - 18mm PLYWOOD BATTEN LINING";"lb3d -  plywood batten lining";6
"235";"LB7 - 18mm GALVANISED BATTEN LINING";"lb7 -  galvanised batten lining";6
"236";"P1a - STUD PARTITION";"p1a - stud partition";4
"237";"STR_300 - RETAINING WALL";"str 300 - retaining ";1
"238";"L4d/A45* - STUD LINING";"l4d/a45* - stud lining";3
"239";"Concretet_150mm";"concretet";2
